NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,Hüsker Dü,Celebrated Summer -New Day Rising,,,,120,1
BAGeL Radio,A,They Might Be Giants,Celebration -Join Us,,,,125,1
BAGeL Radio,A,The Eaves,Celebration -ST,,,,164,1
BAGeL Radio,A,Weekend,"Celebration, FL -Jinx",,,,120,1
BAGeL Radio,A,The Smiths,Cemetery Gates -The Queen Is Dead,,,,88,1
BAGeL Radio,A,B.E.D.,"Centipedes  - Baxter Dury, Etienne de Crécy & Delilah Holliday",,,,114,1
BAGeL Radio,A,"Baxter Dury, Etienne de Crécy & Delilah Holliday",Centipedes -B.E.D.,,,,82,1
BAGeL Radio,A,CONTROL TOP,Chain Reaction -Covert Contracts,,,,98,1
BAGeL Radio,A,Chaise Longue,Chaise Longue  - Wet Leg,,,,202,2
BAGeL Radio,A,Wet Leg,Chaise Longue -Chaise Longue,,,,471,5
BAGeL Radio,A,Killing Joke,Change -Killing Joke,,,,128,1
BAGeL Radio,A,Animal Electricity,Charlottesville -Beginning to See the Light,,,,100,1
BAGeL Radio,A,Skipping Girl Vinegar,Chase The Sun -Chase The Sun,,,,150,1
BAGeL Radio,A,Twerps,Cheap Education -Range Anxiety,,,,144,1
BAGeL Radio,A,Next To Me [Yo Guy Version],Cheekface-Next To Me [Yo Guy Version] (single),,,,88,1
BAGeL Radio,A,Grandaddy,Chek Injin -Last Place,,,,126,1
BAGeL Radio,A,The Fratellis,Chelsea Dagger -Costello Music,,,,157,1
BAGeL Radio,A,The Death Set,Chew It Like A Gun Gum -Michel Poiccard,,,,149,1
BAGeL Radio,A,Spoon,Chicago At Night -Girls Can Tell,,,,140,1
BAGeL Radio,A,77:78,Chilli -Jellies,,,,166,1
BAGeL Radio,A,Literature,Chime Hours -Chorus,,,,100,1
BAGeL Radio,A,It&#8217;s True,Chime School-Chime School,,,,205,2
BAGeL Radio,A,It’s True,Chime School-Chime School,,,,191,2
BAGeL Radio,A,Taking Time to Tell You,Chime School-Chime School,,,,71,1
BAGeL Radio,A,Wait Your Turn,Chime School-Chime School,,,,77,1
BAGeL Radio,A,Snow Patrol,Chocolate -Final Straw,,,,179,1
BAGeL Radio,A,Vulkano,Choir Of Wolves -Live Wild Die Free,,,,111,1
BAGeL Radio,A,Plague Vendor,Chopper -Bloodsweat,,,,48,1
BAGeL Radio,A,Las Rosas,Christa -Shadow by Your Side,,,,172,1
BAGeL Radio,A,I Hate The Radio,Chubby and the Gang-The Mutt's Nuts,,,,77,1
BAGeL Radio,A,Gwenno,Chwyldro -Y Dydd Olaf,,,,128,1
BAGeL Radio,A,Fear Of Music,Cities  - Talking Heads,,,,369,3
BAGeL Radio,A,Talking Heads,Cities -Fear Of Music,,,,80,1
BAGeL Radio,A,Public Practice,Cities -Gentle Grip,,,,105,1
BAGeL Radio,A,Courtney Barnett,City Looks Pretty -Tell Me How You Really Feel,,,,114,1
BAGeL Radio,A,Turbonegro,City Of Satan (radio edit) -City Of Satan (single),,,,155,1
BAGeL Radio,A,Tindersticks,City Sickness -Tindersticks,,,,108,1
BAGeL Radio,A,Secret Colours,City Slicker -Positive Distractions,,,,113,1
BAGeL Radio,A,The Arcade Fire,City With No Children -The Suburbs,,,,78,1
BAGeL Radio,A,Charlie Boyer And The Voyeurs,Clarietta -Clarietta,,,,124,1
BAGeL Radio,A,Love Is Chemicals,Claw Your Sweater -Love Is Chemicals,,,,181,1
BAGeL Radio,A,Coriky,Clean Kill -Coriky,,,,117,1
BAGeL Radio,A,Fantasy Island,Clinic-Fantasy Island,,,,92,1
BAGeL Radio,A,Grand Finale,Clinic-Fantasy Island,,,,86,1
BAGeL Radio,A,Take A Chance,Clinic-Fantasy Island,,,,201,2
BAGeL Radio,A,Silver Starling,Closer -Silver Starling,,,,87,1
BAGeL Radio,A,Man Man,Cloud Nein -Dream Hunting in the Valley of the In-Between,,,,102,1
BAGeL Radio,A,Robert Pollard,Cock Of The Rainbow -From A Compound Eye,,,,104,1
BAGeL Radio,A,Carolyn's Fingers,Cocteau Twins-Blue Bell Knoll,,,,97,1
BAGeL Radio,A,The Heavy,Coleen -Great Vengeance and Furious Fire (US),,,,139,1
BAGeL Radio,A,Gap Dream,College Music -This Is Gap Dream,,,,83,1
BAGeL Radio,A,Elliott Smith,Color Bars -Figure 8,,,,153,1
BAGeL Radio,A,Lala Lala,Color Of The Pool -I Want The Door To Open,,,,443,4
BAGeL Radio,A,Badfinger,Come And Get It -Magic Christian Music,,,,172,1
BAGeL Radio,A,James,Come Home -James,,,,203,1
BAGeL Radio,A,Charlatans UK,Come Home Baby -Modern Nature,,,,99,1
BAGeL Radio,A,Beach Skulls,Come Undone (tedit) -Las Dunas,,,,389,3
BAGeL Radio,A,The Radio Dept.,Commited to the Cause -Running Out of Love,,,,115,1
BAGeL Radio,A,Adam Strangler,Confusion -Ideas Of Order,,,,92,1
BAGeL Radio,A,The Golden Dregs,Congratulations -Hope is for the Hopeless,,,,112,1
BAGeL Radio,A,Moaning,Connect The Dots -Uneasy Laughter,,,,100,1
BAGeL Radio,A,Viet Cong,Continental Shelf -Viet Cong,,,,134,1
BAGeL Radio,A,The Flaming Lips,Convinced Of The Hex -Embryonic,,,,81,1
BAGeL Radio,A,Monomyth,Cool Blue Hello -Happy Pop Family,,,,109,1
BAGeL Radio,A,Gauche,Copper Woman -A People's History of Gauche,,,,132,1
BAGeL Radio,A,Et Hop (tedit),Corridor-Et Hop,,,,66,1
BAGeL Radio,A,Hüsker Dü,Could You Be The One? -Warehouse: Songs and Stories,,,,101,1
BAGeL Radio,A,Barnyard,Country  - Good Morning,,,,238,2
BAGeL Radio,A,Good Morning,Country -Barnyard,,,,580,5
BAGeL Radio,A,JEFF The Brotherhood,Country Life -Hypnotic Nights,,,,76,1
BAGeL Radio,A,Vampire Weekend,Cousins -Cousins (single),,,,102,1
BAGeL Radio,A,Young Galaxy,Cover Your Tracks -Shapeshifting,,,,131,1
BAGeL Radio,A,The Disgruntled Taxpayers,Crabs Are Much Better When They're At The Beach -$5 Toaster,,,,93,1
BAGeL Radio,A,Cold Beat,Cracks -Into The Air,,,,183,1
BAGeL Radio,A,The Ruby Suns,Cranberry -Fight Softly,,,,120,1
BAGeL Radio,A,The Primitives,Crash -Lovely,,,,94,1
BAGeL Radio,A,Buffalo Tom,Crawl -Birdbrain,,,,157,1
BAGeL Radio,A,CRAWLER,Crawl!  - IDLES,,,,247,2
BAGeL Radio,A,IDLES,Crawl! -CRAWLER,,,,647,5
BAGeL Radio,A,Meatbodies,Creature Feature -Alice,,,,438,3
BAGeL Radio,A,Liars,Cred Woes (Radio Edit) -TFCF,,,,109,1
BAGeL Radio,A,Glass House,Creep -Star Club,,,,168,1
BAGeL Radio,A,The Clean Prophets,Crime -Praise Is Poison,,,,184,1
BAGeL Radio,A,The Coathangers,Crimson Telephone -The Devil You Know,,,,171,1
BAGeL Radio,A,Pretty & Nice,Critters -Golden Rules For Golden People,,,,136,1
BAGeL Radio,A,Wovenhand,Crook and Flail -Star Treatment,,,,112,1
BAGeL Radio,A,The Ettes,Crown of Age -Look At Life Again Soon,,,,171,1
BAGeL Radio,A,Captain Sensible,Croydon -Women And Captains First ,,,,104,1
BAGeL Radio,A,Bananarama,Cruel Summer -The Greatest Hits Collection,,,,148,1
BAGeL Radio,A,Julian Casablancas+The Voidz,Crunch Punch -Tyranny,,,,115,1
BAGeL Radio,A,Wicca Phase Springs Eternal,Crushed -Suffer On,,,,173,1
BAGeL Radio,A,Logic,Cuneiform-Reverse,,,,72,1
BAGeL Radio,A,Unmake,Cuneiform-Reverse,,,,83,1
BAGeL Radio,A,The Flower Investment Pawn,Cure-All  - LKFFCT,,,,275,2
BAGeL Radio,A,LKFFCT,Cure-All -The Flower Investment Pawn,,,,102,1
BAGeL Radio,A,Mister Loveless,Curfew (BAGeL Radio Acoustic) -SomaFM Studio Sessions,,,,128,1
BAGeL Radio,A,Slaves,Cut And Run -Acts of Fear and Love,,,,63,1
BAGeL Radio,A,Erica Nockalls,Cut Them Out -Imminent Room,,,,124,1
BAGeL Radio,A,Pavement,"Cut Your Hair -Crooked Rain, Crooked Rain",,,,98,1
BAGeL Radio,A,Don't Waste My Time,Cy Dune-Don't Waste My Time [Single],,,,208,2
BAGeL Radio,A,Pip Blom,Daddy Issues (Radio Edit) -Boat,,,,184,2
BAGeL Radio,A,Mandatory Enjoyment,Daffodils  - Dummy,,,,218,2
BAGeL Radio,A,Dummy,Daffodils -Mandatory Enjoyment,,,,451,4
BAGeL Radio,A,U.S. Girls,Damn That Valley -Half Free,,,,124,1
BAGeL Radio,A,New York Dolls,Dance Like A Monkey -One Day It Will Please Us To Remember Even This,,,,87,1
BAGeL Radio,A,Light Heat,Dance the Cosmos Light -Light Heat,,,,112,1
BAGeL Radio,A,Here Come The Saviours,Dancehall Destructo -Set The City On Fire,,,,138,1
BAGeL Radio,A,IDLES,Danny Nedelko -Joy as an Act of Resistance.,,,,132,1
BAGeL Radio,A,Hot Chip,Dark & Stormy -Dark & Stormy,,,,135,1
BAGeL Radio,A,Women Of The Night,Dark Horsey -Sub Rosa,,,,429,3
BAGeL Radio,A,Colleen Green,Darkest Eyes -Sock It To Me,,,,121,1
BAGeL Radio,A,Buffalo Tom,Darl -Let Me Come Over,,,,256,2
BAGeL Radio,A,Locksley,Darling It's True -Darling It's True (Single),,,,76,1
BAGeL Radio,A,Roche featuring Livingston Gains,Dashing -Solos in Stereo II,,,,137,1
BAGeL Radio,A,Slowness,Day for Night -For Those Who Wish to See the Glass Half Full,,,,177,1
BAGeL Radio,A,Olivia Broadfield,Daydreams -This Beautiful War,,,,104,1
BAGeL Radio,A,Bad Cop,Daylight -Harvest The Beast,,,,94,1
BAGeL Radio,A,Great Lakes Myth Society,Days Of Apple Pie -Compass Rose Bouquet,,,,91,1
BAGeL Radio,A,The Police,"De Do Do Do, De Da Da Da -Zenyatta Mondatta",,,,120,1
BAGeL Radio,A,Little Barrie,De Seleckt -Shadow,,,,103,1
BAGeL Radio,A,Lush,De-Luxe -Mad Love EP,,,,98,1
BAGeL Radio,A,The Now,Dead Anyway-Trip Switch Lips,,,,98,1
BAGeL Radio,A,Sonic Avenues,Dead Faces -Disconnector,,,,79,1
BAGeL Radio,A,Team Ghost,Dead Film Star -Dead Film Star EP,,,,97,1
BAGeL Radio,A,Fake Your Own Death,Dead Won't Die -Fakeyourowndeath,,,,184,1
BAGeL Radio,A,As Much As It Was Worth,Dean Wareham-I Have Nothing To Say To The Mayor Of L.A.,,,,435,2
BAGeL Radio,A,Under Skys (Lazy Smoke cover),Dean Wareham-I Have Nothing To Say To The Mayor Of L.A.,,,,85,1
BAGeL Radio,A,XTC,Dear God -Skylarking,,,,169,1
BAGeL Radio,A,The Beatles,Dear Prudence -The Beatles (White Album) (Disc 1),,,,99,1
BAGeL Radio,A,Slaughterhouse,Death  - Ty Segall Band,,,,375,3
BAGeL Radio,A,Ty Segall Band,Death -Slaughterhouse,,,,67,1
BAGeL Radio,A,Cloud Control,Death Cloud -Bliss Release,,,,105,1
BAGeL Radio,A,Weapons Of Mass Belief,Death Of A Nation -Death Of A Nation,,,,160,1
BAGeL Radio,A,It's All Really Kind of Amazing,Death Valley Girls-It's All Really Kind of Amazing (single),,,,85,1
BAGeL Radio,A,Courtney Barnett,"Debbie Downer -Sometimes I Sit and Think, and Sometimes I Just Sit",,,,139,1
BAGeL Radio,A,Peel Dream Magazine,Deetjen's -Modern Meta Physic,,,,393,3
BAGeL Radio,A,Galore,Deja Vu -Galore,,,,82,1
BAGeL Radio,A,Human Woman,Delusional -Human Woman,,,,156,1
BAGeL Radio,A,No Taste,Delusions of Grandeur  - Bad Waitress,,,,199,2
BAGeL Radio,A,Bad Waitress,Delusions of Grandeur -No Taste,,,,432,4
BAGeL Radio,A,Surfer Blood,Demon Dance -Pythons,,,,100,1
BAGeL Radio,A,New Order,Denial -Movement,,,,111,1
BAGeL Radio,A,Joel Plaskett,"Deny, Deny, Deny -Three [Disc 3]",,,,102,1
BAGeL Radio,A,See You,Depeche Mode-A Broken Frame,,,,60,1
BAGeL Radio,A,[the] caseworker,Dependence Day -Voices Out There,,,,140,1
BAGeL Radio,A,Barnyard,Depends On What I Know  - Good Morning,,,,382,3
BAGeL Radio,A,Good Morning,Depends On What I Know -Barnyard,,,,438,4
BAGeL Radio,A,Courtney Barnett,"Depreston -Sometimes I Sit and Think, and Sometimes I Just Sit",,,,136,1
BAGeL Radio,A,The Coathangers,Derek's Song  -Derek's Song b/w Throw,,,,102,1
BAGeL Radio,A,Versari,Des images -Sous la peau,,,,234,2
BAGeL Radio,A,Kestrels,Descent of Their Last End -Kestrels,,,,97,1
BAGeL Radio,A,Ladytron,Destroy Everything You Touch -Witching Hour,,,,102,1
BAGeL Radio,A,And The Kids,Devastation Celebration -Turn To Each Other,,,,167,2
BAGeL Radio,A,CFM,Dichotomy -Dichotomy Desaturated,,,,116,1
BAGeL Radio,A,Keep on Truckin',Dicks in Space  - Surfbort,,,,208,2
BAGeL Radio,A,Surfbort,Dicks in Space -Keep on Truckin',,,,448,5
BAGeL Radio,A,Vomitface,Did She Come Alone? -Another Bad Year,,,,103,1
BAGeL Radio,A,The Go! Team,Did You Know? -The Scene Between,,,,174,1
BAGeL Radio,A,Guided By Voices,Difficult Outburst and Breakthrough -Motivational Jumpsuit,,,,107,1
BAGeL Radio,A,I LIKE TRAINS,Dig In -KOMPROMAT,,,,118,1
BAGeL Radio,A,Bishop Allen,Dimmer -Grrr...,,,,100,1
BAGeL Radio,A,Anima (Tedit),Dinner-Dream Work,,,,102,1
BAGeL Radio,A,The Mountain Goats,Dinu Lipatti's Bones -The Sunset Tree,,,,85,1
BAGeL Radio,A,Turnpike Glow,Dirty Rain -Rush Home EP,,,,90,1
BAGeL Radio,A,School Of Language,Distance Between -Old Fears,,,,115,1
BAGeL Radio,A,Clinic,Distortions -Internal Wrangler,,,,137,1
BAGeL Radio,A,Throwing Muses,Dizzy -Hunkpapa,,,,122,1
BAGeL Radio,A,Arctic Monkeys,Do I Wanna Know? -AM,,,,113,1
BAGeL Radio,A,"Bauhaus, L'Appartamento",Do This To Me  - Julia Bardo,,,,246,2
BAGeL Radio,A,Julia Bardo,"Do This To Me -Bauhaus, L'Appartamento",,,,580,6
BAGeL Radio,A,Cub Scouts,Do You Hear -Told You So EP,,,,121,1
BAGeL Radio,A,The Horrors,Do You Remember -Primary Colours,,,,96,1
BAGeL Radio,A,Broken Equipment,Doers  - BODEGA,,,,213,2
BAGeL Radio,A,BODEGA,Doers -Broken Equipment,,,,544,6
BAGeL Radio,A,Drahla,Dog Collar Guillotine -A Compact Cassette,,,,92,1
BAGeL Radio,A,The Sisters Of Mercy,Dominion / Mother Russia -Floodland,,,,86,1
BAGeL Radio,A,The Blank Tapes,Don't Ever Get Old -Vacation,,,,127,1
BAGeL Radio,A,TORRES,Don't Go Puttin Wishes in My Head -Thirstier,,,,112,1
BAGeL Radio,A,They Might Be Giants,Don't Let's Start -They Might Be Giants,,,,153,1
BAGeL Radio,A,Pip Blom,Don't Make It Difficult -Boat,,,,66,1
BAGeL Radio,A,Spoon,Don't Make Me A Target -Ga Ga Ga Ga Ga,,,,128,1
BAGeL Radio,A,The Peep Tempel,Don't Race -Joy,,,,71,1
BAGeL Radio,A,French Kicks,Don't Thank Me -The Latest,,,,111,1
BAGeL Radio,A,The Dodos,Don't Try And Hide It -No Color,,,,85,1
BAGeL Radio,A,Don't Waste My Time [Single],Don't Waste My Time  - Cy Dune,,,,202,2
BAGeL Radio,A,Cy Dune,Don't Waste My Time -Don't Waste My Time [Single],,,,478,4
BAGeL Radio,A,Jim Noir,Don't You Worry -Jim Noir,,,,107,1
BAGeL Radio,A,Cosmonauts,Doom Generation -A-OK!,,,,98,1
BAGeL Radio,A,tUnE-yArDs,Doorstep -w h o k i l l,,,,102,1
BAGeL Radio,A,Momma,Double Dare -Two Of Me,,,,93,1
BAGeL Radio,A,Anthem In,Down -Anthem In,,,,88,1
BAGeL Radio,A,The Decemberists,Down By The Water -The King Is Dead,,,,102,1
BAGeL Radio,A,Rod Stewart,Downtown Train -,,,,94,1
BAGeL Radio,A,Les Sauterelles,Dream Machine -View To Heaven,,,,94,1
BAGeL Radio,A,Abjects,Dream Song -Never Give Up,,,,83,1
BAGeL Radio,A,Serene Lakes,Dreaming In French -S/T,,,,192,1
BAGeL Radio,A,Depeche Mode,Dreaming Of Me -Dreaming Of Me b/w Ice Machine,,,,75,1
BAGeL Radio,A,Torres,Dressing America -Silver Tongue,,,,188,1
BAGeL Radio,A,Sofi Tukker,Drinkee (Radio Edit) -Soft Animals EP,,,,114,1
BAGeL Radio,A,Surfer Blood,Drinking Problem  -Tarot Classics,,,,106,1
BAGeL Radio,A,Boats,"Drinking The Lake -Cannonballs, Cannonballs",,,,137,1
BAGeL Radio,A,Kitchens Of Distinction,Drive That Fast -Strange Free World,,,,182,1
BAGeL Radio,A,The Breeders,Drivin' On 9 -Last Splash,,,,97,1
BAGeL Radio,A,Thee Oh Sees,Drop -Drop,,,,78,1
BAGeL Radio,A,The Fresh & Onlys,Drugs -Soothsayer,,,,105,1
BAGeL Radio,A,Port Juvee,Drugstore -Motion Control,,,,107,1
BAGeL Radio,A,Peach Kelli Pop,Drugstore Symbol of Happiness -Which Witch [EP],,,,158,1
BAGeL Radio,A,Car Seat Headrest,Drunk Drivers/Killer Whales (radio edit) -Teens of Denial,,,,96,1
BAGeL Radio,A,Mannequin Pussy,Drunk II -Patience,,,,108,1
BAGeL Radio,A,Fit to Burst,Ducks Ltd.-Modern Fiction,,,,103,1
BAGeL Radio,A,How Lonely Are You?,Ducks Ltd.-Modern Fiction,,,,211,2
BAGeL Radio,A,Daffodils,Dummy-Mandatory Enjoyment,,,,106,1
BAGeL Radio,A,Final Weapon,Dummy-Mandatory Enjoyment,,,,202,2
BAGeL Radio,A,Punk Product Number 4,Dummy-Mandatory Enjoyment,,,,93,1
BAGeL Radio,A,The Vaselines,Dying For It -Dying For It [EP],,,,97,1
BAGeL Radio,A,Ra Ra Riot,Dying Is Fine -The Rhumb Line,,,,183,1
BAGeL Radio,A,Better Oblivion Community Center,Dylan Thomas (tedit) -Better Oblivion Community Center,,,,139,1
BAGeL Radio,A,Paul McCartney,Early Days -New,,,,137,1
BAGeL Radio,A,Male Gaze,Early Surgeon -Gale Maze,,,,73,1
BAGeL Radio,A,XTC,Earn Enough For Us -Skylarking,,,,132,1
BAGeL Radio,A,MIEN,Earth Moon -MIEN,,,,169,1
BAGeL Radio,A,Getting Stranger,Easier 2 Say  - Grady Strange,,,,212,2
BAGeL Radio,A,Grady Strange,Easier 2 Say -Getting Stranger,,,,573,5
BAGeL Radio,A,Heartless Bastards,Eastern Wind -Restless Ones,,,,116,1
BAGeL Radio,A,Thao,Easy -Know Better Learn Faster,,,,88,1
BAGeL Radio,A,Westkust,Easy -Last Forever,,,,100,1
BAGeL Radio,A,Caged Animals,Eat Your Own -Eat Their Own,,,,149,1
BAGeL Radio,A,Sons of Raphael,Eating People -Eating People/Rio [single],,,,107,1
BAGeL Radio,A,Pixies,Ed Is Dead -Come On Pilgrim,,,,70,1
BAGeL Radio,A,MGMT,Electric Feel -Oracular Spectacular,,,,136,1
BAGeL Radio,A,Beirut,Elephant Gun -Lon Gisland EP,,,,111,1
BAGeL Radio,A,The High Dials,Employment and Enjoyment -Primitive Feelings,,,,133,1
BAGeL Radio,A,The Wedding Present,"Emporia -Going, Going...",,,,137,1
BAGeL Radio,A,Martin Frawley,End Of The Bar -Undone At 31,,,,196,1
BAGeL Radio,A,Jeffrey Lewis,End Result -12 Crass Songs,,,,99,1
BAGeL Radio,A,Tangled Heart [EP],End Times Daily  - Papercuts,,,,208,2
BAGeL Radio,A,Papercuts,End Times Daily -Tangled Heart [EP],,,,453,5
BAGeL Radio,A,Windmill,Epcot Slow -Epcot Starfields,,,,102,1
BAGeL Radio,A,Pearls and a Grin,Erica Nockalls-Dark Music From a Warm Place,,,,75,1
BAGeL Radio,A,The King of Want,Erica Nockalls-Dark Music From a Warm Place,,,,207,2
BAGeL Radio,A,Et Hop,Et Hop (tedit)  - Corridor,,,,207,2
BAGeL Radio,A,Corridor,Et Hop (tedit) -Et Hop,,,,284,3
BAGeL Radio,A,Second Still,Eternal Love -Violet Phase,,,,110,1
BAGeL Radio,A,Band Apart,Eve Ryonne -Band Apart [EP],,,,94,1
BAGeL Radio,A,Drink Up Buttercup,Even Think -Even Think EP,,,,102,1
BAGeL Radio,A,Piroshka,Everlastingly Yours -Brickbat,,,,120,1
BAGeL Radio,A,Allah-Las,Every Girl -Worship the Sun,,,,399,3
BAGeL Radio,A,Intercooler,Every Time I Go -Read The Room,,,,110,1
BAGeL Radio,A,Care Bears On Fire,Everybody Else -Get Over It!,,,,105,1
BAGeL Radio,A,Naked Giants,Everybody Thinks They Know (But No One Really Knows) -SLUFF,,,,93,1
BAGeL Radio,A,Kaiser Chiefs,Everyday I Love You Less And Less -Employment,,,,97,1
BAGeL Radio,A,George Best Plus,Everyone Thinks He Looks Daft  - The Wedding Present,,,,208,2
BAGeL Radio,A,The Wedding Present,Everyone Thinks He Looks Daft -George Best Plus,,,,48,1
BAGeL Radio,A,The Academy of Sun,Everything At Once Forever -Rose Devoid of Form,,,,300,2
BAGeL Radio,A,The Suffrajets,Everything You Do -Everything You Do (single),,,,169,1
BAGeL Radio,A,Programm,Everything at Once -A Torrid Marriage of Logic and Emotion,,,,122,1
BAGeL Radio,A,Translator,Everywhere That I'm Not -Heartbeats and Triggers,,,,93,1
BAGeL Radio,A,R.E.M.,Exhuming McCarthy -Document,,,,84,1
BAGeL Radio,A,Mixhell,Exit Wound -Spaces,,,,140,1
BAGeL Radio,A,John Vanderslice,Exodus Damage -Pixel Revolt,,,,115,1
BAGeL Radio,A,Total Control,Expensive Dog -Typical System,,,,84,1
BAGeL Radio,A,Shopping,Expert Advice -All Or Nothing,,,,114,1
BAGeL Radio,A,Screaming Females,Expire -Ugly,,,,111,1
BAGeL Radio,A,Adam Strangler,Exposition -Ideas Of Order,,,,120,1
BAGeL Radio,A,Ultra Vivid Scene,Extra Ordinary -Joy 1967-1990,,,,122,1
BAGeL Radio,A,Phantom Kicks,Eyes Familiar -Tectonics EP,,,,109,1
BAGeL Radio,A,The Holloways,F**K Ups -So This Is Great Britain,,,,113,1
BAGeL Radio,A,Intercooler,FSA -Read The Room,,,,237,2
BAGeL Radio,A,The Drums,Face Of God -Encyclopedia,,,,180,1
BAGeL Radio,A,Dope Body,Fade to You -Home Body,,,,93,1
BAGeL Radio,A,The National,Fake Empire -Boxer,,,,100,1
BAGeL Radio,A,R.E.M.,Fall On Me -Life's Rich Pageant,,,,107,1
BAGeL Radio,A,MC 900 Ft Jesus,Falling Elevators -Welcome To My Dream,,,,122,1
BAGeL Radio,A,Summer Cannibals,False Anthem -Can't Tell Me No,,,,102,1
BAGeL Radio,A,Ausmuteants,Family Time -Order Of Operation,,,,152,1
BAGeL Radio,A,Car Seat Headrest,Famous -Making A Door Less Open,,,,99,1
BAGeL Radio,A,Projector,Fantasies / Survival  - Geese,,,,236,2
BAGeL Radio,A,Geese,Fantasies / Survival -Projector,,,,490,5
BAGeL Radio,A,Fantasy Island,Fantasy Island  - Clinic,,,,219,2
BAGeL Radio,A,Clinic,Fantasy Island -Fantasy Island,,,,645,6
BAGeL Radio,A,Feet (radio edit),Fat White Family-Serf's Up,,,,92,1
BAGeL Radio,A,Surfer Blood,Feast (Famine) -1000 Palms,,,,79,1
BAGeL Radio,A,Little Pieces,Featherweight Song -Little Pieces,,,,111,1
BAGeL Radio,A,The Soft Moon,Feel -Deeper,,,,124,1
BAGeL Radio,A,CHURCHES,Feel Alright -C H U R C H E S,,,,86,1
BAGeL Radio,A,Harmonizer,Feel Good  - Ty Segall,,,,380,3
BAGeL Radio,A,Ty Segall,Feel Good -Harmonizer,,,,422,4
BAGeL Radio,A,Queens Of The Stone Age,Feel Good Hit Of The Summer -Rated R,,,,96,1
BAGeL Radio,A,Dan Deacon,Feel The Lightning -Gliss Riffer,,,,167,1
BAGeL Radio,A,Sugar,Feeling Better -Beaster,,,,146,1
BAGeL Radio,A,All Sensory Void,Feeling For You -Secret Truth Of The Universe,,,,174,1
BAGeL Radio,A,The Shivas,Feels So Bad -Feels So Good // Feels So Bad,,,,525,4
BAGeL Radio,A,Serf's Up,Feet (radio edit)  - Fat White Family,,,,352,3
BAGeL Radio,A,Fat White Family,Feet (radio edit) -Serf's Up,,,,67,1
BAGeL Radio,A,Drahla,Fictional Decision -A Compact Cassette,,,,184,1
BAGeL Radio,A,Andrew Bird,Fiery Crash -Armchair Apocrypha,,,,108,1
BAGeL Radio,A,The Flaming Lips,Fight Test -Yoshimi Battles The Pink Robots,,,,120,1
BAGeL Radio,A,Car Seat Headrest,Fill In The Blank -Teens of Denial,,,,98,1
BAGeL Radio,A,Said Your Name,Film School-We Weren't Here,,,,63,1
BAGeL Radio,A,Mandatory Enjoyment,Final Weapon  - Dummy,,,,213,2
BAGeL Radio,A,Dummy,Final Weapon -Mandatory Enjoyment,,,,437,5
BAGeL Radio,A,Lawrence Arabia,Fine Old Friends -Chant Master,,,,150,1
BAGeL Radio,A,Rey Pila,Fire Away -The Future Sugar,,,,100,1
BAGeL Radio,A,The Cult,Fire Woman -Sonic Temple,,,,94,1
BAGeL Radio,A,Duke Of Norfolk,First Day of Spring -First Day Of Spring (single),,,,185,1
BAGeL Radio,A,Queens Of The Stone Age,First It Giveth -Songs For The Deaf,,,,111,1
BAGeL Radio,A,Django Django,First Light -Born Under Saturn,,,,178,1
BAGeL Radio,A,Modern Fiction,Fit to Burst  - Ducks Ltd.,,,,223,2
BAGeL Radio,A,Ducks Ltd.,Fit to Burst -Modern Fiction,,,,424,5
BAGeL Radio,A,Infinity (For Chris Corner) feat. Pixalino,Five Pence Game-Infinity (single),,,,94,1
BAGeL Radio,A,Cursive,Flag And Family -Happy Hollow,,,,98,1
BAGeL Radio,A,Wand,Floating Head -Golem,,,,171,1
BAGeL Radio,A,The Bats,Flowers & Trees -At The National Grid,,,,183,1
BAGeL Radio,A,House of Wolves,Fold in the Wind -Fold in the Wind,,,,104,1
BAGeL Radio,A,Telegram,Follow -Operator,,,,143,1
BAGeL Radio,A,Kid Amnesiae,Follow Me Around  - Radiohead,,,,216,2
BAGeL Radio,A,Radiohead,Follow Me Around -Kid Amnesiae,,,,718,6
BAGeL Radio,A,Purling Hiss,Follow You Around -High Bias,,,,194,2
BAGeL Radio,A,A Lucid Dream,Fontaines D.C.-A Hero's Death,,,,75,1
BAGeL Radio,A,Sego,Fool Around -Once Was Lost Now Just Hanging Around,,,,99,1
BAGeL Radio,A,Cut Off Your Hands,Fooling No One -Hollow,,,,97,1
BAGeL Radio,A,Kiwi Jr.,Football Money -Football Money,,,,92,1
BAGeL Radio,A,Buffalo Tom,For All To See -No Alternative,,,,92,1
BAGeL Radio,A,Screaming Trees,For Celebrations Past -Sweet Oblivion,,,,104,1
BAGeL Radio,A,The Beatles,For No One -Revolver [2009 Stereo Remaster],,,,91,1
BAGeL Radio,A,Bob Mould,Forecast Of Rain -Blue Hearts,,,,141,1
BAGeL Radio,A,Wolf Parade,Forest Green -Thin Mind,,,,139,1
BAGeL Radio,A,New Madrid,Forest Gum -Sunswimmer  ,,,,113,1
BAGeL Radio,A,Folk Devils,Forever -Forever [EP],,,,92,1
BAGeL Radio,A,Stephen Malkmus & The Jicks,Forever 28 -Mirror Traffic,,,,113,1
